id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kategori_sekolah,jumlah_murid,satuan,tahun_ajaran
265,32,JAWA BARAT,3277,KOTA CIMAHI,NEGERI,15819,ORANG,2022/2023
266,32,JAWA BARAT,3277,KOTA CIMAHI,SWASTA,5990,ORANG,2022/2023
267,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NEGERI,18235,ORANG,2022/2023
268,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SWASTA,10384,ORANG,2022/2023
269,32,JAWA BARAT,3279,KOTA BANJAR,NEGERI,5605,ORANG,2022/2023
270,32,JAWA BARAT,3279,KOTA BANJAR,SWASTA,2263,ORANG,2022/2023
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,NEGERI,93669,ORANG,2023/2024
272,32,JAWA BARAT,3201,KABUPATEN BOGOR,SWASTA,142597,ORANG,2023/2024
273,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NEGERI,54801,ORANG,2023/2024
274,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SWASTA,31362,ORANG,2023/2024
275,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NEGERI,59893,ORANG,2023/2024
276,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SWASTA,39119,ORANG,2023/2024
277,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NEGERI,78359,ORANG,2023/2024
278,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SWASTA,61849,ORANG,2023/2024
279,32,JAWA BARAT,3205,KABUPATEN GARUT,NEGERI,67523,ORANG,2023/2024
280,32,JAWA BARAT,3205,KABUPATEN GARUT,SWASTA,38939,ORANG,2023/2024
281,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NEGERI,41166,ORANG,2023/2024
282,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SWASTA,23171,ORANG,2023/2024
283,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NEGERI,31921,ORANG,2023/2024
284,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SWASTA,6746,ORANG,2023/2024
285,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NEGERI,36704,ORANG,2023/2024
286,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SWASTA,5226,ORANG,2023/2024
287,32,JAWA BARAT,3209,KABUPATEN CIREBON,NEGERI,58842,ORANG,2023/2024
288,32,JAWA BARAT,3209,KABUPATEN CIREBON,SWASTA,23829,ORANG,2023/2024
289,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NEGERI,33589,ORANG,2023/2024
290,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SWASTA,7607,ORANG,2023/2024
291,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NEGERI,35258,ORANG,2023/2024
292,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SWASTA,8081,ORANG,2023/2024
