id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,nama_sekolah,npsn,status_sekolah,alamat_sekolah,tahun
19314,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 2 SUKAMAJU,20224714,NEGERI,JL.PARAKANHONJE,2023
19315,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 3 PARAKANNYASAG,20224664,NEGERI,JL.GUNUNG GEDE,2023
19316,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 3 SUKAMAJU,20224713,NEGERI,BOJONG KUPA,2023
19317,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 4 PARAKANNYASAG,20224663,NEGERI,JALAN R. E. MARTADINATA,2023
19318,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN 4 SINDANGPALAY,20224699,NEGERI,JL.MANG KOKO,2023
19319,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN CIBUNGKUL,20224471,NEGERI,JL.CIBUNGKUL,2023
1932,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3202210,CIBADAK,32.02.11,CIBADAK,SD NEGERI PASIRJATI,20201997,NEGERI,JL.CISEUPAN KP. PASIRJATI RT.003/005 KEC.CIBADAK KAB.SUKABUMI,2023
19320,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN INDIHIANG,20229830,NEGERI,JL.LETJEN H.IBRAHIM ADJIE NO. 102,2023
19321,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN PANYINGKIRAN,20224642,NEGERI,JL. R.E. MARTADINATA,2023
19322,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN PAOZAN,20224652,NEGERI,JLN. GUNUNG GEDE RT 01 RW 10,2023
19323,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDN SIRNAGALIH,20224705,NEGERI,JLN SIRNAGALIH NO 55,2023
19324,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SD ISLAM AL MISBAH,69900139,SWASTA,JL. SIRNAGALIH RT.001 RW.004,2023
19325,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SD ISLAM TERPADU IBADURROHMAN,20246489,SWASTA,JL. PARAKANYASAG 2 RT 02 RW 11,2023
19326,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,32.78.04,INDIHIANG,SDIT WASILATUL HUDA,69996266,SWASTA,JL. LEUWIDAHU RT.004 RW.002,2023
19327,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3208071,CIBEUREUM,32.08.28,CIBEUREUM,SDN 1 AWIPARI,20224497,NEGERI,JL. AWIPARI,2023
